"name","ref","id","address/name","address/street","address/street2","address/zip","address/city","address/country_id.id","address/phone","address/fax","address/email","property_payment_term.id","credit_limit","x_nif","x_stat","x_cif","customer","supplier"
"ENTREPRISE MANANTSOA","C22534","C22534","M. LEON","LOT III N 68 TER FIADANANA","BP 78 TOLAGNARO BAZARIBE","101","ANTANANARIVO",135,"033 11 260 16 /67289",,,5,5000000,"2424743",,,"TRUE","FALSE"
"ENTREPRISE FANIRY","C22535","C22535","MME CHRISTINE","I B G 25 AMBOASARIKELY","ISORAKA","TANA 101",,135,"320779438",,,5,4000000,"105009663",,,"TRUE","FALSE"
"ENTREPRISE MORAKELY","C22536","C22536","SABIRHOUSSEN IBRAHIM","LOT III X375 MB ANOSIBE OUEST",,,,135,"320268300",,,5,50000000,"6323335",,,"TRUE","FALSE"
"NS BAT CONSTRUCTION","C22537","C22537","M. ANDY","58 ROUTE CIRCULAIRE AMPANDRANA OUES","AMPANDRANA OUEST","101","ANTANANARIVO",135,"033 11 854 13",,,5,5000000,"105014080",,,"TRUE","FALSE"
"QUINCAILLERIE MOD","C22538","C22538","M. MAMOD","LOT II M MAHAVOKY","ANDRAVOAHANGY","101","ANTANANARIVO",135,"22 291 97",,,5,5000000,"105012143",,,"TRUE","FALSE"
"M. HATIM TARALILA","C22539","C22539","M. HATIM","LOT II M 13 BIS","ANDRAVOAHANGY","101","ANTANANARIVO",135,"22 222 37",,,5,10000000,"17801813",,,"TRUE","FALSE"
"INGENIUM","C22540","C22540","MR BERGER","LOT 11 B24AA ISORAKA","BP12173","101","ANTANANARIVO",135,"320702220",,"hedaraly@moov.mg",5,5000000,"439464",".53103111992000073  ",".001350DGI-A","TRUE","FALSE"
"MME MADELEINE","C22541","C22541","MME MADELEINE","ANDOHATAPENAKA","LOT IVM 38 Y A BIS","101","ANTANANARIVO",135,"032 02 489 76",,,5,5000000,,,,"TRUE","FALSE"
"CODIM","C22542","C22542","MME JULIANNA","LOT 42 H","IMERINAFOVOANY",,"ANTANANARIVO",135,"033 14 492 89",,,5,10000000,"055121/32",,,"TRUE","FALSE"
"SICOCEAN SARL","C22543","C22543",,"Lot K7 185 bis Ivato",,"101","Antananarivo",135,"22 482 58","22 454 82","sambatex@moov.mg",5,4000000,"239155",".51367721990000046  ",".0000142 DGI-A","TRUE","FALSE"
"SIT PALAIS","C22544","C22544","MR GOULAM","11 RESIDENCE SOAVINA RTE D'ANDONDRA",,,,135,"0320721421/0320700664",,,5,80000000,"4509090","7020111 2001 000222","2001B00139","TRUE","FALSE"
"AMBATOVY MINERALS AMSA (GRP DYNATEC","C22545","C22545","MR RAKOTOSON","EX VILLAGE DES JEUX ANKORONDRANO",,,,135,,,,5,4000000,"6109357",,,"TRUE","FALSE"
"DYNATEC MADAGASCAR DMSA","C22546","C22546",,"VILLAGE DES JEUX ANKORONDRANO BAT C",,,"ANTANANARIVO",135,,,,5,5000000,"383436",,,"TRUE","FALSE"
"STE TSARAFIRAISANA","C22547","C22547","MR FERIDE","LOT 062 B BIS AMBOHIBAO ANTEHIROKA",,,"ANTANANARIVO",135,,,"madatrade.af@moov.mg",5,50000000,"107 011 438","70 110.11.2006.0.10986  ","0023947 DGI-A","TRUE","FALSE"
"DOMAPUB (INJET)","C22548","C22548",,"PARCELLE N?34 ZONE TANA WATER FRONT",,"101","ANTANANARIVO",135,"2256777","2256977",,5,0,"905254",,,"TRUE","FALSE"
"MR AMIR RAZA PANDJOU","C22549","C22549","MR AMIR RAZA",,,,,135,"320552367",,,5,200000000,"38 671 813",,,"TRUE","FALSE"
"ENTREPRISE HATIM","C22550","C22550",,"LOT 20 ANKEVAHEVA",,,,135,"320467735",,,5,800000,"105 004 166",,,"TRUE","FALSE"
"ENTREPRISE GHR","C22551","C22551","MR RAKOTOARISON","LOT 1326 BIS -  CITE 67HA - BP184",,"101","ANTANANARIVO",135,"24 388 77",,,5,900000,"4000009562","45221 11 1990 0 00030",,"TRUE","FALSE"
"TRAMAD","C22552","C22552","MME HOLISOA","LOT V U 290 C - MANAKAMBAHINY","AMBANIDIA","101","ANTANANARIVO",135,"22 645 20",,,5,20000000,"5367560",,,"TRUE","FALSE"
"ENTREPRISE MEVA","C22553","C22553","MME JOSIANE","VILLA DES CINQ AMBOHITSOA",,"101","ANTANANARIVO",135,"033 08 345 49",,,5,2000000,"102 47 954",,,"TRUE","FALSE"
"WCS MADAGASCAR","C22554","C22554","MME SYLVIE","SOAVIMBAHOAKA - BP 8500",,"101","ANTANANARIVO",135,"22 597 89- 0320713672",,"rmb.colombe@gmail.com",5,3500000,"105017127",".52241111994000535  ",".2604DGI-A DU 28/11/08","TRUE","FALSE"
"VALY AGRIDEVELOPPEMENT","C22555","C22555","MR LIVA","LOT II T 4H BETONGOLO - BP1156",,"101","ANTANANARIVO",135,"032 07 116 69",,"ako@moov.mg",5,0,"439666",".52251111997000167  ",".0013529DGI-A","TRUE","FALSE"
"ESPACE RAVINALA","C22556","C22556","MME ELIANE","AMBOANJO II R44",,"101","ANTANANARIVO",135,"0331158717-0320457357",,"jean_lala@yahoo.fr",5,40000000,"10700617-3",".52251111990000571  ",".0006871 DGI-A","TRUE","FALSE"
"BL HARBERT INTERNATIONAL","C22557","C22557",,"CONSTRUCTION AMBASSADE USA","ANDRANOMENA - EN FACE POINT PACOM","101","ANTANANARIVO-MADAGASCAR",135,"034 08 406 55","22 432 53",,5,5000000,"38 671 813","45212 11 2008 0 10104  ",,"TRUE","FALSE"
"SOCIETE CORIMA","C22558","C22558",,"AMBOHIPANJA-ILAFY","BP 12035","101","ANTANANARIVO",135,"22 00 690 -0320784493",,,5,0,"37 731 813",,,"TRUE","FALSE"
"SOCIETE S.A.C.M","C22559","C22559","MR JEAN MARC","RUE RAVONINAHITRINIARIVO","ANKORONDRANO","101","ANTANANARIVO",135,"22 271 44",,"ballou3@moov.mg",5,200000,"107009210 SRE B",".51367111982010001  ",".0024190 DGI-A ","TRUE","FALSE"
"SOCIETE VAG","C22560","C22560","MME CHANTAL","39 ROUTE CIRCULAIRE AMPANDRANA OUES",,"101","ANTANANARIVO",135,"24 236 37",,"serbtp@yahoo.fr",5,1400000,"107009286",".45212111996010091  ",".0007100 DGI-A DU 15/06/09","TRUE","FALSE"
"HOTEL LA MARINA","C22561","C22561","MR TONNY","LOT II 151 TER AMBOHIJATOVO IVANDRY",,"101","ANTANANARIVO",135,"22 437 11",,"direction@sobatra.mg",5,11000000,"105015207",".4521211200100005  ",".0002572DGI-A","TRUE","FALSE"
"E/SE RAZAFIMAHEFA","C22562","C22562","MME CHAIMICA","VO 33L ANKADITOHO MAROROHO",,"101","ANTANANARIVO",135,"032 47 367 55",,,5,2500000,"6821813",,,"TRUE","FALSE"
"ENTREPRISE RAZAKAMANDIMBY","C22563","C22563","MR ABEL","LOT PRES IIM 127 MAHAVOKY","REF : ESE TAHIANA","101","ANTANANARIVO",135,"22 406 83",,,5,50000000,"424101",,,"TRUE","FALSE"
"SOCIETE O.T.I","C22564","C22564","MR NIRINA","LOT IA 58 AMPATSAKANA",,"101","ANTANANARIVO",135,"033 14 907 17",,,5,50000000,,,,"TRUE","FALSE"
"MALAGASY PACKAGING","C22565","C22565",,,"GROUPE MTC","101","ANTANANARIVO",135,,,,5,0,,,,"TRUE","FALSE"
"SOCIETE SOA DISTRIBUTION","C22566","C22566","MR DANIEL/JEMS","IMMEUBLE TSF ROUTE AMBOHIPO","ANDOHANIMANDROSEZA - GROUPE TSFM","101","ANTANANARIVO",135,"033 14 140 13",,,5,0,"4639171",,,"TRUE","FALSE"
"MENUISERIE LIHAN HUA LAI WING","C22567","C22567","MR ROGER","II A 78 SMA SOAVIMBAHOAKA",,"101","ANTANANARIVO",135,"24 517 03",,,5,4000000,"2654954",,,"TRUE","FALSE"
"ESE MAHEFA","C22568","C22568","MR RAZA","MB 393 MAHABO ANDOHARANOFOSY",,"101","ANTANANARIVO",135,"034 06 255 24",,,5,0,"105009949",,,"TRUE","FALSE"
"MADIMEX","C22569","C22569","MR MANITRA","LOT TT Y5L VVS AVARATRA ANTANIMORA",,"101","ANTANANARIVO",135,"22 206 64",,,5,0,,,,"TRUE","FALSE"
"SOCIETE ROVA","C22570","C22570","MME MIARANA","LOT IV 80 TER BEHORIRIKA",,"101","ANTANANARIVO",135,"2262811/0331402528","22 211 49",,5,3000000,,,,"TRUE","FALSE"
"QUINCAILLERIE SAM","C22571","C22571","MR AKTHAR",,"ANDRAVOAHANGY","101","ANTANANARIVO",135,"22 311 24 OU 22 282 9",,,5,5000000,"3722844",,,"TRUE","FALSE"
"YASSIN RAZA","C22572","C22572","PANDJOU","MORONDAVA",,,,135,"22 661 08/032 07 523",,,5,150000000,"105004027",,,"TRUE","FALSE"
"SMOI ALAROBIA UTILISATION INTERNE","C22573","C22573","HEDARALY","SMOI ALAROBIA",,,,135,,,,5,200000000,"128851",,,"TRUE","FALSE"
"QIE AMBININTSOA","C22574","C22574","MR AMBININTSOA","LOT 091 B AMBOHIBAO ANTEHIROKA","AMBOHIDRATRIMO",,,135,"033.11.569.91",,,5,0,,,,"TRUE","FALSE"
"NAMANA CONSTRUCTION","C22575","C22575","FRANCIS","LOT 74/6 AMBOAROY ANTEHIROKA",,"101","ANTANANARIVO",135,"22 258 62/",,"033 11 242 60",5,0,,,,"TRUE","FALSE"
"TTRA RMB ISOTRY","C22576","C22576","MR BACHIR","ISOTRY","TANA 101",,,135,"2234525","3 207 311 622 228 890",,5,250000000,"107 015 734",,,"TRUE","FALSE"
"ENT RAHOELIARIVAHY","C22577","C22577","FARA",,,,,135,,,,5,50000000,"97953",,,"TRUE","FALSE"
"QIE RATSIRAHONANA","C22578","C22578","MR TINA","II H 2B E AMPASAMPITO","TANA",,,135,"332381598",,,5,0,"10584245",,,"TRUE","FALSE"
"MME RAHANTAVELO  NANTENAINA","C22579","C22579","MME LALAO","LOT III V 91 BIS ANOSIZATO EST","TANA 101",,,135,"331220963",,,5,20000000,"3722844","606658  ",,"TRUE","FALSE"
"BALLOU","C22580","C22580","M. THEO","LOT IVL 2 TER AMBODIVONKELY","ANDRAHARO","101","ANTANANARIVO",135,"22 223 33","22 223 34",,5,50000000,,,,"TRUE","FALSE"
"ENT HARIJAONA","C22582","C22582","DR RADO","LOT 156 BIS ANTANETIBE TALATAMATY","TANA 101",,,135,"331105584",,,5,0,,,,"TRUE","FALSE"
"ETABLISSEMENT MICHELE SARL","C22583","C22583","MME MICHELE","LOT III P 29 G MAROHOHO ANJAHANA",,"101","ANTANANARIVO",135,"22 002 79",,"michele.ets@live.fr",5,200000000,"107 015 734","51522 11 2008 0 11135  ","0024076 DGI DU 03/07/09","TRUE","FALSE"
"ECAR BEVALALA","C22584","C22584","FRERE RICHARD","BP 3832","MALAHO-BEVALALA","101","ANTANANARIVO",135,"22 904 54 -0320710251","22 307 18","bevalala@blueline.mg",5,50000000,"97 953","00 40111 1961 000021  ",,"TRUE","FALSE"
"QUINC. MANAMBINA ITAOSY","C22585","C22585","M. YVON","LOT I P A 99 ANKADILALANA","ITAOSY",,"ANTANANARIVO",135,"033 14 640 68",,,5,100000000,"26436",,,"TRUE","FALSE"
"STE ALMA","C22586","C22586","MR HERMANN","NANISANA PK 4 , 100 RN 2","TANA 101",,,135,"2241775","2259770","alma@tiko.mg",5,40000000,,,,"TRUE","FALSE"
"EGCEB","C22587","C22587","MR GIDORE","A COTE STATION JOVENNA MAJUNGA",,,,135,"320719500",,,5,10000000,"2206846",,,"TRUE","FALSE"
"ENTREPRISE MOUSTAPHA","C22588","C22588","MR MOHIBALY TAHERALY","MARODOKA",,"413","MAINTIRANO",135,"65 02082 22 426 72",,,5,2000000,"101715",,,"TRUE","FALSE"
"QIE MORA PRIX","C22589","C22589","MR RIZVAN","EX SANIFER ANTOHOMADINIKA",,,,135,"2237258",,,5,1500000,"32191813",,,"TRUE","FALSE"
"ENT BATIR","C22590","C22590","GAUVIN",,,,,135,,,,5,10000000,"58 146",,,"TRUE","FALSE"
"MADAFAB","C22591","C22591","MME FARAMALALA PRISCA","LOT II H 12 EBPS","ANKADINDRAMAMY","101","ANTANANARIVO",135,"0 33 11 687 42-22 596",,"priscarakotoson@yahoo.fr",5,12000000,"5578269","26329 11 2001 0 10040  ","0006971 DGI-A DU 04/12/08","TRUE","FALSE"
"E.T.T","C22592","C22592",,"11,RESIDENCE SOAVINA","BP6223",,"ANTANANARIVO",135,"2235209","2260111","maloti@moov.mg",5,80000000,"2000 010 579","45 101 11 1994 0098","0174734/DGI/B DU 12/05/2011","TRUE","FALSE"
"BOULANGERIE DEX","C22593","C22593","MR DEX","LOT AB37 BIS A AMPITATAFIKA",,,"ANTANANARIVO",135,"320269399",,,5,1500000,"105011342",,,"TRUE","FALSE"
"ENTRAID","C22594","C22594","MR RANDRIANASOLO MAMY","LOT IVC 33 BIS AMBATOMITSANGA",,,"ANTANANARIVO",135,"033 11 156 61",,"asataratra@moov.mg",5,60000000,"22 068 46","45 212 11 1998 0 00 970  ","0024 459 DGI-A","TRUE","FALSE"
"STE COMARINE","C22595","C22595","MME BODO",,,,"ANTANANARIVO",135,"2269059","2267710","comarine@netclub.mg",5,20000000,"1 977 878",,,"TRUE","FALSE"
"ALIZES PROMOTION","C22596","C22596","JEAN CLAUDE","IVE 80 BIS, BEHORIRIKA",,,"ANTANANARIVO",135,"0320244235/0331230023",,,5,5000000,,,,"TRUE","FALSE"
"JEMSH","C22597","C22597","M. JEMSH","LOT IP12 RUE DR RANAIVO","ISOTRY","101","ANTANANARIVO",135,"22  602 23","22 689 40",,5,50000000,"107006336","26323 11 1991 0 0023  ","0024040 DGI-A DU 140509","TRUE","FALSE"
"PROCHIMAD","C22598","C22598","RAZAFINDRAKOTO ANDRY","BP 3145 MANDROSOA IVATO",,"101","ANTANANARIVO",135,"2244140",,,5,15000000,"105 015 231",,,"TRUE","FALSE"
"MBS GROUPE","C22599","C22599","FREDDY","ENCEINTE CUA ANOSIFATRANA","BP1137",,"ANTANANARIVO",135,"22 689 12",,,5,5000000,"208349",,,"TRUE","FALSE"
"SHTM","C22600","C22600","MRPHILIPPE DEHAULME","201 MODULE19 ZONEFORELLO",,"101","ANTANANARIVO",135,"2246706","2246689",,5,0,"416813",,,"TRUE","FALSE"
"SC D - R  ET DECORATION","C22601","C22601","M. GEORGES","LOT II C 19","AMPANDRANA","101","ANTANANARIVO",135,"033 12 303 33",,,5,10000000,,,,"TRUE","FALSE"
"ENTREPRISE LM","C22602","C22602","MR AZIZ","ENCEINTE MSB ANOSIZATO",,,"ANTANANARIVO",135,"320417782",,,5,5000000,,,,"TRUE","FALSE"
"DETACHEMENT DE COORDINATION MILITAI","C22603","C22603","LIEUTENANT COLONEL HENRI CADENET","RUE JEAN JAURES AMBATOMENA","BP799","101","ANTANANARIVO",135,"320725426",,,5,3000000,,,,"TRUE","FALSE"
"MINING SERVICES","C22604","C22604",,"135 BIS RTE CIRCULAIRE ANKORAHOTRA",,"101","ANTANANARIVO",135,"2241663","2259132",,5,10000000,"107016217","1439911200701086","0005287 DGI-A","TRUE","FALSE"
"HOTEL PALISSANDE&SPA","C22605","C22605",,"13 RUE ANDRIANDAHIFOTSY FARAVOHITRA",,,,135,"2260560",,,5,5000000,"4209964",,,"TRUE","FALSE"
"ENTREPRISE CLEM","C22606","C22606","MR RAKOTOKONDRANAIVO","LOT MMA V15 BIS RTE D'IMERI MANDROS",,,,135,"0324365044/0320479212",,,5,1000000,"105 000 904",,,"TRUE","FALSE"
"BATISTOCK","C22607","C22607","MR ALAIN MARSAL","RUE DR RASETA ANDRAHARO",,,,135,"2230193",,,5,10000000,"105003936",,,"TRUE","FALSE"
"IVATO HOTEL","C22608","C22608","MME VIVIANE","LOT K6-28 IMOTRO",,,,135,"2258693","2244510","ballou3@moov.mg",5,2000000,"107009210",".51367111982010001  ",".0024190 DGI-A ","TRUE","FALSE"
"STTE ETTRAT","C22609","C22609","MLLE TANJONA","ZONE FORELLO TANJOMBATO",,,,135,"2257292","2257293",,5,10000000,"13629601",,,"TRUE","FALSE"
"GAS IMPORT","C22610","C22610",,,,,,135,,,,5,2000000,"092 81 813",,,"TRUE","FALSE"
"ENTREPOT S2M","C22611","C22611","MME VOLA","BP8633",,"101","ANTANANARIVO",135,"2201974/0320725369","2237381","vola@score .mg",5,0,"61819","  ",,"TRUE","FALSE"
"E.C.E ENT DE CONST D'ETUDE","C22612","C22612","MME RAHARISOA","LOT C47 PER A ANDAFIAVARATA",,,,135,"331196018",,,5,15000000,"9412840",,,"TRUE","FALSE"
"AURLAC","C22613","C22613",,,,,,135,,,,5,10000000,"4037813",,,"TRUE","FALSE"
"SITE LES ATELIERS DU CAPRICORNE","C22614","C22614","MR TONY","LOT II Y 24BIS AMPASANIMALO",,,,135,"2268047/0330201041",,,5,1500000,"308 21 813",,,"TRUE","FALSE"
"ENTREPRISE MIANDRISOA","C22615","C22615","MR RAMIANDRISOA JOB","ANTANANTANANA MANTASOA",,,"ANTANANARIIVO",135,"0326257099/4266004",,,5,50000000,,,,"TRUE","FALSE"
"NADIV PROMOTION","C22616","C22616","RASANDRATANARIVO MUHAJIR","CITY CENTER ANALAKELY",,,"ANTANANARIVO",135,"320241356",,,5,0,,,,"TRUE","FALSE"
"SAS CONSOLIDATED LOGISTICS","C22617","C22617","MME NATHALIE","30 RUE DE RUSSIE ISORAKA",,"101","ANTANANARIVO",135,"2223924/2233524","2225893","sas@moov.mg",5,1000000,"4798882",,,"TRUE","FALSE"
"MBSO","C22618","C22618",,,,,,135,,,,5,10000000,"4718975",,,"TRUE","FALSE"
"FRIGO PIECES","C22619","C22619","MR SONDARJEE SHENAZ","109 RUE DE SIEGE TSARALALANA",,,,135,,,,5,50000000,"272563",,,"TRUE","FALSE"
"MK CONSTRUCTION","C22620","C22620","MR ZAHID",,,,,135,,,,5,0,"116783",,,"TRUE","FALSE"
"GROUPE HYDELEC","C22621","C22621","MME LANTO","15 VENUE DE L'INDEPENDANCE",,,,135,"331125868",,"logistic@hydelec.mg",5,0,,,,"TRUE","FALSE"
"MR ZAHID FIDAHOUSSENE","C22622","C22622",,,,,,135,,,,5,70000000,,,,"TRUE","FALSE"
"CAMUSAT","C22623","C22623",,,,,,135,,,,5,0,,,,"TRUE","FALSE"
"ENTREPRISE MIHARY","C22624","C22624","DR. HENRI","LOT I T S 32 BERAVINA","ITAOSY","101","ANTANANARIVO",135,"032 07 758 86",,,5,0,"105 005 759",,,"TRUE","FALSE"
"QIE DAMIEN","C22625","C22625","NASOLO","LOT K4/032 IVATO AEROPORT",,,"ANTANANARIVO",135,"033 11 904 24",,,5,0,,,,"TRUE","FALSE"
"ENT HERA","C22626","C22626","HERY","LOT II A B 45 ANDRONONOBE",,,"ANKADIKELY",135,"033 11 794 16",,,5,35000000,,,,"TRUE","FALSE"
"SOCIETE GUINO","C22627","C22627","MR SECOND GUY","BP 4058","17, RUE RAMELINA AMBATONANKANGA","101","ANTANANARIVO",135,"032 07 00236-22 26048","22 262 21","ericraza2003@yahoo.fr",5,10000000,"105009050",".52221111962110003  ",".0057571DGI-D","TRUE","FALSE"
"ENTREPRISE BAO","C22628","C22628","MME FLERE","ITAOSY I T L 28 BIS","LOT SIAG 53 SOARANO",,,135,"331103768",,,5,0,"8606359 DU 28/04/03",,,"TRUE","FALSE"
"ENTREPRISE ERAC","C22629","C22629",,,,,,135,,,,5,20000000,,,,"TRUE","FALSE"
"TELMA","C22630","C22630",,,,,,135,,,,5,5000000,,,,"TRUE","FALSE"
"SEIMAD","C22631","C22631",,,,,,135,,,,5,100000000,,,,"TRUE","FALSE"
"MADARAIL","C22632","C22632",,"1, Avenue de l_independance","Gare Soarano- BP1175","101","Antananarivo",135,"020 22 345 99","020 22 364 17","madarail@madarail.mg",5,2000000,"105 007 687","60102 11 2001010113","2001B70","TRUE","FALSE"
"CREABAT","C22633","C22633",,,,,,135,,,,5,0,"105 010 354",,,"TRUE","FALSE"
"SHOPRITE","C22634","C22634","MR HOBY/JOHARY/FANJA","ENCEINTE TANA WATER FRONT","ZONE ZAPA-AMBODIVONA","101","ANTANANARIVO",135,"22 667 87","22 616 22",,5,5000000,"602695 9",,,"TRUE","FALSE"
"ENTREPRISE RAFITRA","C22635","C22635","MME BAKOMALALA","LOT II N 81 E","ANALAMAHITSY","101","ANTANANARIVO",135,"033 11 150 30","032 04 429 90",,5,6000000,,,,"TRUE","FALSE"
"AMBASSADE DE CHINE","C22636","C22636","MR HUANG","NOUVEAUX LOCAUX NANISANA",,"101","ANTANANARIVO",135,"033 07 736 91",,,5,0,,,,"TRUE","FALSE"
"ANTSAHAVOLA S.A.R.L","C22637","C22637",,"Lot IBF 32 Ambatomena",,,,135,,,,5,1000000,"2000001567","6331111 2005 000 721",,"TRUE","FALSE"
"ERASTMA","C22638","C22638",,,,,,135,,,,5,50000000,"111 270 41",,,"TRUE","FALSE"
"ENTREPRISE FANAMBY","C22639","C22639","MR MANANTSOA","LOT IAB 30 ANDRONOMBE",,,,135,"332300325",,,5,30000000,"105008927",,,"TRUE","FALSE"
"SIMA","C22640","C22640","MME BAKOLY","BP4216 RUE RAVOMIMAHITRIMONIARIVO",,"101","ANTANANARIVO",135,"2226511","2233833",,5,5000000,,,,"TRUE","FALSE"
"ETUDES ET SERVICES DIMBY E.S.D.","C22641","C22641","M. RAZAFIMANDIMBY","LOT II A 122 G NANISANA",,"101","ANTANANARIVO",135,"22 524 15 / 033113884",,,5,0,"0002863DGI-A",,,"TRUE","FALSE"
"QUINC VAOVAO","C22642","C22642","FAJILE ABASSE","IIIX 375 DA ANOSIBE",,"101","ANTANANARIVO",135,"22 652 63",,,5,0,"4939180 DU 03/06/03",,,"TRUE","FALSE"
"SALOHY DISTRIBUTION","C22643","C22643","NAINA","PRES VQ 4 W MANDROSEZA","EN FACE ARRET BUS","101","ANTANANARIVO",135,"033 12 225 89",,,5,0,"335 542",,,"TRUE","FALSE"
"DIL'AUTO","C22644","C22644","Mr. DILEF","LOT IVL 22 AMBOHIMANARINA","AMBODIVONIKELY","101","ANTANANARIVO",135,"22 548 04-0320703163",,,5,2000000,"61410203",,,"TRUE","FALSE"
"ENTREPRISE LIGHT","C22645","C22645",,"ANTANETIBE ITAOSY","BP 13026",,"ANTANANARIVO",135,,,,5,0,"10114125",,,"TRUE","FALSE"
"SARA ET CIE","C22646","C22646","MR RICHARD","PK 4 Av. GENERAL RATSIMANDRAVA","OUEST AMBOHIJANAHARY-BP 337","101","ANTANANARIVO",135,"22 218 32",,"sara@wanadoo.mg",5,50000000,"105 00 89 27","45 212 11 197 2 1 10004  ","002728/DGI DU 13/02/09","TRUE","FALSE"
"MR DAYA MOURTOUZA","C22647","C22647",,"LOT II M 32 MAHAVOKY BESARETY",,,,135,"2227171/03207171",,,5,20000000,"105 008 544",,,"TRUE","FALSE"
"STE INTERNATIONAL DISTRIBUTION","C22648","C22648",,,,,,135,,,,5,2000000,,,,"TRUE","FALSE"
"QUINCAILLERIE KOLOINA","C22649","C22649","HANITRA RAMANANDRAIBE","LOT II P 45 AMBODIMANGA","BESARETY","101","ANTANANARIVO",135,"033 12 174 52",,,5,3000000,"105 008 544",,,"TRUE","FALSE"
"MADECO INTERNATIONAL","C22650","C22650","M. LIVA","LOT III J ANKADITOHO","BP 3116","101","ANTANANARIVO",135,"22 567 10","22 567 12",,5,2000000,"40341813",,,"TRUE","FALSE"
"QUINCALLERIE DU NORD","C22651","C22651","MME RASAMOELIARISOA","LOT ID 149 ANKADIKELY","AVARADRANO",,"ILAFY",135,,"032 40 810 15",,5,3000000,,,,"TRUE","FALSE"
"ECR CONSTRUCTION","C22652","C22652","MLLE ANGELA","LOT III B 21 AMBOHIBAO BONGOTSARA","BP 5028","101","ANTANANARIVO",135,"22 470 08","22 470 10","mso@wanadoo.mg",5,50000000,"105014897",".45309111999010129  ",,"TRUE","FALSE"
"PHARMACIE PRINCIPALE","C22653","C22653",,,,,,135,,,,5,2000000,,,,"TRUE","FALSE"
"GROUPE PACOM (CITE PERRIER)","C22654","C22654","MR TENDRY","LOT II A 21 TER","ANTANINANDRO","101","ANTANANARIVO",135,"22 339 24-22 299 70","22 343 17","daf.pacom@moov.mg",5,9000000,"105 008 544","5143611 1971 0 10004  ","0057601 DGI/B DU 24/08/09","TRUE","FALSE"
"BIPINE","C22655","C22655",,,,,,135,,,"herizoari@yahoo.fr",5,0,"6024836",".45212112000002145  ",".0090415DGI-B","TRUE","FALSE"
"GROUPE PACOM/CITE PLANTON","C22656","C22656","MME RIANA","LOT II W 19G AMBODIRAOTRA","CITE PLANTON","101","ANTANANARIVO",135,"22 246 05",,"daf.pacom@moov.mg",5,6000000,"105 008 544","5143611 1971 0 10004  ","0057601 DGI/B DU 24/08/09","TRUE","FALSE"
"VIMA SERV","C22657","C22657","MME MENO","RUE ROBERU CROQ ANTANIMENA",,"101","ANTANANARIVO",135,"2230640","2230638",,5,250000000,"1960842",,,"TRUE","FALSE"
"DE FIL EN AIGUILLE","C22658","C22658",,,,,,135,,,,5,2000000,"5101813",,,"TRUE","FALSE"
"SITMA","C22659","C22659","M. FALY","Module 1315 ZI FORELLO","TANJOMBATO","101","ANTANANARIVO",135,"22 468 05 / 468 02","22 468 07",,5,4000000,"105017258","51106 11 1963 0 00003","0158302/DGI/B DU 21/06/11","TRUE","FALSE"
"QUINCAILLERIE TAHIANA","C22660","C22660","MME FANJA","LOT I V I 3 BIS","ANDRAVOAHANGY","101","ANTANANARIVO",135,"033 14 759 27",,,5,5000000,"1120309",,,"TRUE","FALSE"
"N.S.E.G.SM","C22661","C22661","IOANNIS","Enceinte Ste TAF - Rue Ravoninahitr",,"101","ANTANANARIVO",135,"22 394 40","22 394 44","taf.attachedirection@blueline.mg",5,10000000,"151013",,,"TRUE","FALSE"
"RANAIVOSOLOFO NICOLAS","C22662","C22662","M.RANAIVOSOLOFO","LOT IAV 305 IAVOLOHA",,"102","ANTANANARIVO",135,"0341029638",,"nicoranaivosolofo@yahoo.fr",5,30000000,"2630932",,,"TRUE","FALSE"
"ENTREPRISE RADO","C22663","C22663","M. MENJA - JOCELYN","LOT II I 67 D ALAROBIA","AMBONILOHA","101","ANTANANARIVO",135,"22 56293 - 0331163454","331262939",,5,4000000,"358559",,,"TRUE","FALSE"
"ENTREPRISE MAVITA","C22664","C22664","MME ANDRIANONY","LOGT 205","CITE MANDROSEZA","101","ANTANANARIVO",135,"032 04 694 56",,,5,5000000,"7783556",,,"TRUE","FALSE"
"RAVAVI SARL","C22665","C22665","MR CLAUDIO","LOT VW 118 LA HAUTE VILLE",,,"ANTANANARIVO",135,,,,5,20000000,"105 005 512",,,"TRUE","FALSE"
"SICAM","C22666","C22666","MME RAKOTOZAFY","17, RUE RABEFIRAISANA","ANALAKELY","101","ANTANANARIVO",135,"22 229 61","22 336 73","sicam@wanadoo.mg",5,6000000,"11521813",".63311112006000721  ",".0071546DGI-B DU 17/06/09","TRUE","FALSE"
"MISSION CHINOISE","C22667","C22667",,"IVATO",,"101","ANTANANARIVO",135,,,,5,0,"18881813",".45212112006010355  ",,"TRUE","FALSE"
"PROMODIM","C22668","C22668","M. ALLAIN","RUE RAVONINAHITRARIVO","ANKORONDRANO","101","ANTANANARIVO",135,"22 344 26","22 294 64","fanamby_9@yahoo.fr",5,5000000,"25921813",".51436112007010025  ",,"TRUE","FALSE"
"ENTREPRISE MANASOA","C22669","C22669","M. RASAMBA","LOT I T M 15 TER AMBODIFASIKA","ITAOSY",,"ANTANANARIVO",135,,,,5,5000000,,,,"TRUE","FALSE"
