ref,name,address/name,address/street,address/street2,address/city,credit_limit,address/phone,address/fax,email,x_nif,x_stat,customer,supplier
C22188,SOCIETE TIB,,IMMEUBLE DIGITAL IVANDRY,,ANTANANARIVO,0,22 422 36,,,,534145,TRUE,FALSE
C22189,COLAS,,BP 133,,ANTANANARIVO,0,22 204 16,,,105014382 ( ex. 105005375,4521211 2005 0 03208,TRUE,FALSE
C22190,MADAGASCAR HELICO,,ANTANANARIVO,,ANTANANARIVO,0,22 324 95,22 324 93,,,,TRUE,FALSE
C22191,CTHA,,ANKERANA,,ANTANANARIVO,0,22 415 93,22 415 93/591 05,,,,TRUE,FALSE
C22192,NOELIARIJAO NIRINA HERIZO,MR SOLOFO RABERAHONA,II P92 TER AVARADOHA,,ANTANANARIVO,0,,,,,,TRUE,FALSE
C22193,MADIMPORT,,ANOSIBE BP3216 ROUTE D'ARIVONIMAMO,,ANTANANARIVO,0,22 303 99,,,,,TRUE,FALSE
C22194,ESPACE NOFY,MME NORO,LOT III I 80 SOANIERANA,TEL 24 373 65,ANTANANARIVO,3000000,0340168874/2230540,,,5340523,2004,TRUE,FALSE
C22195,RAMIARISOA Sylvia,,SOAVINA TANJOMBATO,,ANTANANARIVO,0,,,,,638 580,TRUE,FALSE
C22196,CEVOI TOAMASINA,,SIEGE 22 RUE RAJAOFERA FARAVOHITRA,,ANTANANARIVO,0,22 329 80/ 53 32514,,,,,TRUE,FALSE
C22197,IBL MADAGASIKARA,,BP 228,,ANTANANARIVO,0,22 558 53,,,,,TRUE,FALSE
C22198,BONNET ET FILS ANTANANARIVO,,42 AVENUE Adrianampoinimerina,,ANTANANARIVO,0,22 203 26,22 222 53,bonnetfils@micro.mg,77547,173,TRUE,FALSE
C22199,BRL,,BP 87,,ANTANANARIVO,0,22 596 10/596 11,22 596 11,brlmad@dts.mg,,530 740,TRUE,FALSE
C22200,RANDRIAMAMONJISOA Voahangy,,LOT II N 99 94 F,Analamahitsy,ANTANANARIVO,0,22 720 02,,,,543859,TRUE,FALSE
C22201,SOCIETE ITD,,7 RUE RAKOTOSON TOTO RADONA,BP 5038 ANTSAHAVOLA,ANTANANARIVO,0,22 353 63,,,,524316,TRUE,FALSE
C22202,RALAMBOSON,,ANTANAMBAO TALATAMATY,,ANTANANARIVO,0,,,,,,TRUE,FALSE
C22203,HASYMA,,15 Bis Rue Patrice Lumumba Tsaralal,BP692 ANTANANARIVO,ANTANANARIVO,0,22 349 58/22 642 39,,,,1.16211196201001E+015,TRUE,FALSE
C22204,SOCIETE TEKNET Group,,BP 485,ISORAKA,ANTANANARIVO,0,22 313 60,,,,,TRUE,FALSE
C22205,LFL,,LOT 439 ME MANDROSOA IVATO,,ANTANANARIVO,40000000,2426574/2426575,2248233,,8641944,637047,TRUE,FALSE
C22206,RATAVAO Naivoarinirina,,LOT II J 33 IVANDRY,,ANTANANARIVO,0,320253158,,,,634550,TRUE,FALSE
C22207,SUNTOUR,,LOT IV E 92 SOARANO,,ANTANANARIVO,0,22 257 70,,,,,TRUE,FALSE
C22208,KOBAMA,Zafinaivo RANDRIANOMANANA,Direction Gle Bd Gal RATSIMANDRAVA,SOANIERANA,ANTANANARIVO,0,2228683/4486165/66,4486167/2232735,,,,TRUE,FALSE
C22209,PTE/USAID/LDI,JOELY BARISON,,,ANTANANARIVO,0,22 348 08,22 348 01,,,,TRUE,FALSE
C22210,BUREAU GTZ IVANDRY,,LOT II K 65 LOTISSEMENT BONNET,BP 869 ANTANANARIVO,ANTANANARIVO,0,22 425 98/99/42255,2242605,gtz-madagaskar@gtz.de,170 818,,TRUE,FALSE
C22211,D 3,,LOT III X 152 V TER   ANOSIBE,,ANTANANARIVO,0,0331195295/2256163,,,,642862,TRUE,FALSE
C22212,FESTIVAL SA,M.ALAIN FOURNY,169 BIS AMBOHIPANJA ANKADIKELY,BP 8728  TANA 101,ANTANANARIVO,5000000,2245341/0320710286,2249447,festival@festival.mg,3000016531,3.629211199501E+016,TRUE,FALSE
C22213,VANILLE MAD,MME RENEE,15 AVENUE DE L'INDEPENDANCE ANTANAN,,ANTANANARIVO,1000000,22 287 25/88 923 36,22 287 31,,,175659,TRUE,FALSE
C22214,SOPAGRI,SEHENO RAVELOSOA,ANDRANOMARIA ANOSIZATO EST,,ANTANANARIVO,10000000,2225643/2228008,2225665,JeRiviere@wanadoo.fr,107 009 04 9,2,TRUE,FALSE
C22215,PHARMACIE IVANDRY,MR MOLOU SABIR,IVANDRY,IVANDRY,ANTANANARIVO,500000,22 439 15,22 439 70,,,599 355,TRUE,FALSE
C22216,PHARMACIE LEADER PRICE,MME ALINE/MLLE LALAINA,LEADER PRICE TANJOMBATO,TANJOMBATO,ANTANANARIVO,500000,22 636 01,,,,5.22211119920003E+016,TRUE,FALSE
C22217,PHARMACIE HANITRA,Dr ANDRIANJAFY HANITRA,172 ROUTE CIRCULAIRE ANKORAHOTRA,ANKORAHOTRA,ANTANANARIVO,500000,22 312 81/0320445410,,,,,TRUE,FALSE
C22218,PHARMACIE MAHAVOKY,MME RANAIVOSON,ANDRAVOAHANGY Face Quincaillerie 20,ANDRAVOAHANGY,ANTANANARIVO,0,22 255 51,,,,,TRUE,FALSE
C22219,INTERPHARMA,MME NIVO,PK 8.500 RN 58 A Route digue,Route digue,ANTANANARIVO,0,2200678/55539/62721,22 601 06,,,,TRUE,FALSE
C22220,AQUAMEN EF,,VILLAGE E3 NY HAVANA,ANKORONDRANO BP 7715,ANTANANARIVO,10000000,22 637 01/22 609 34,22 679  60,aquamenef.tnr.ha@iris.mg/ aquamenef.tnr.dgf@iris.mg,,570783,TRUE,FALSE
C22221,CABINET VETO TSARALALANA  EX BURBAN,MR ANDRIANARISATA,TSARALALANA,TSARALALANA,ANTANANARIVO,0,22 209 52,,,1739878,526119,TRUE,FALSE
C22222,BOUTIQUE JOVENNA  MEVASOA,MME CHAN  FAN Marie Hoy Ling,Andrefan'ambohijanaharry,Andrefan'ambohijanaharry,ANTANANARIVO,500000,22 215 15,,,,65321,TRUE,FALSE
C22223,PHARMACIE  DE TALATAMATY,MR RAVO,TALATAMATY,TALATAMATY,ANTANANARIVO,500000,22 585 00,,,,,TRUE,FALSE
C22224,PHARMACIE MILLENIUM,MR LUC,IMMEUBLE TANA 2000 ANKORONDRANO,ANKORONDRANO,ANTANANARIVO,500000,22 549 09,,,,,TRUE,FALSE
C22225,PHARMACIE PROGRES DE L'ILE ROUGE,MME ANDRIAMBOAVONJY,ANALAKELY(Pr?s BNI CL),ANALAKELY,ANTANANARIVO,500000,22 207 06,,,,,TRUE,FALSE
C22226,PHARMACIE RAKOTOARIVONY,,FACE RABEARIVELO ANALAKELY,ANALAKELY,ANTANANARIVO,500000,22 240 64,,,,,TRUE,FALSE
C22227,PHARMACIE FANOMEZANTSOA,MME RAJAONA,AMBONDRONA,AMBONDRONA,ANTANANARIVO,500000,22 286 85,,,,,TRUE,FALSE
C22228,PHARMACIE DES 67 Ha,MME RAKOTOSOA,BLOC 8 COMMERCIAL 67 Ha,67 Ha,ANTANANARIVO,500000,22 253 61,,,,,TRUE,FALSE
C22229,PHARMACIE RAKOTONDRAZAKA,,ANDRAVOAHANGY,ANDRAVOAHANGY,ANTANANARIVO,500000,22 222 25,,,,,TRUE,FALSE
C22230,PHARMACIE TIANA,MR JEDEDIA,ANDRAVOAHANGY AMBANY,ANDRAVOAHANGY,ANTANANARIVO,500000,22 276 23,,,,,TRUE,FALSE
C22231,BOUTIQUE JOVENNA LA DIGUE,Mr Christian/Mr Antra,ANDRANOMENA,ANDRANOMENA,ANTANANARIVO,500000,2245595/0320400209,,,,,TRUE,FALSE
C22232,BALLOU MOQUETTE,MR Ballou/mr Stan,ANDRAHARO,ANDRAHARO,Antananarivo,0,23 223 33/0320722333,23 223 34,,,5.136711198201E+016,TRUE,FALSE
C22233,PHARMACIE DU CENTRE,M. IRCHAD/MME LEILA,GALERIE SMART Tanjombato,Tanjombato,ANTANANARIVO,500000,22 575 83,22 575 84,pharmcenter@wanadoo.mg,,,TRUE,FALSE
C22234,GRAPHEXPORT IMPRIMERIE,,PK 6 ROUTE ANTSIRABE,BP 3409 ANTANANARIVO,ANTANANARIVO,0,22 632 85,22 632 85,graphexport@netclub.mg,,,TRUE,FALSE
C22235,ESPACE VOATSARA,MME BODO DERATOX,LOT PRES AIA 21 ANKADIVORIBE SUD,,ANTANANARIVO,1000000,221713/0331141111,,,,656391,TRUE,FALSE
C22236,CROCKUS MADAGASCAR,MR Charles RANDRIAMPARANY,IMMEUBLE SANTA ANTANIMENA,,ANTANANARIVO,0,0331445194/0331221108,,,,657145,TRUE,FALSE
C22237,GSDM,,AMBATOROKA,,ANTANANARIVO,0,,,,,,TRUE,FALSE
C22238,VETERINAIRE SANS FRONTIERE(VSF),MME Viviane RASOARIBAKO,LOT II U 54 F BIS AMBARANJANA,BP 3649,ANTANANARIVO,0,22 684 97,,vsf.mada@dts.mg,,,TRUE,FALSE
C22239,REPTEL,,BP 563 IVATO,,ANTANANARIVO,0,22 00 715,,,105011921,5.52211119940002E+016,TRUE,FALSE
C22240,SACOPLAST,,BP 372 TANJOMBATO,,ANTANANARIVO,500000,22 463 09,,,,512 078,TRUE,FALSE
C22241,STOP INSECTES,MME BAKOLY,TALATAMATY,,ANTANANARIVO,15000000,22 681 94/0320748124,22 681 94,stop.insectes@netclub.mg,79 382 79,632 454,TRUE,FALSE
C22242,3GROUPE REFRIGEPECHE MADAGASCAR,,OUEST ANKADIMBAHOAKA-ROUTE DIGUE,BP4395,ANTANANARIVO,0,22 30858,22 280 93,grm.achatloc@wanadoo;mg,,,TRUE,FALSE
C22243,FAFISOA,DR RANAIVOSON,AMBOHIMANGAKELY,,ANTANANARIVO,0,331438018,,,,,TRUE,FALSE
C22244,ALUBAT,,ANJAHANA TIMBAZAZA,,ANTANANARIVO,0,22 231 26,,,,,TRUE,FALSE
C22245,RABEARSON,,FMAI 100 A BIS 67 HA,,ANTANANARIVO,0,331485486,,,,654 406,TRUE,FALSE
C22246,LONG FE,MME HANTA,476 BOULEVARD RATSIMANDRAVA SOANIER,,ANTANANARIVO,0,2265087,,,,,TRUE,FALSE
C22247,RAJAONARIVO Thomas,LUI MEME,ANTANETIBE MAHAZAZA MAHITSY,,ANTANANARIVO,100000000,320237090,,,,,TRUE,FALSE
C22248,DISTILLERIE DES MASCAREIGNES,MME LALATIANA,BEHORIRIKA,BEHORIRIKA,ANTANANARIVO,0,2422328,,,,,TRUE,FALSE
C22249,QUALITYMAD,,LOT VG25BIS ANTSAHABE,,ANTANANARIVO,0,2256454,,,,,TRUE,FALSE
C22250,CHAMBRE DE COMMERCE ANTANANARIVO,jean Claude RAKOTOARIMANANA,20 RUE PAUL DUSSAC BP 166,,ANTANANARIVO,0,22 202 11/12/81,2220213,www.tan-cciaa.org,,,TRUE,FALSE
C22251,RAMILISAONA,,MANAKAMBAHINY/MAHITSY,,,15000000,,,,,,TRUE,FALSE
C22252,DAIHO CORPORATION,MR AUGUSTIN/MR SAKURAI,,,ANTANANARIVO,0,22 221 21,22 216 17,,,,TRUE,FALSE
C22253,ETS RANDRIAMAROSOLO Samuel,,ANJANAHARY AFOVOANY,,ANTANANARIVO,1000000,24 205 20,,,,,TRUE,FALSE
C22254,FERME RAMAHEFA,MME FARA,ANDOHARANOFOTSY,,ANTANANARIVO,2500000,0320477680/2246653,,fara@mail.blueline.mg,,,TRUE,FALSE
C22255,FERME AUBERCAIL,MME TIANA,ITAOSY,,ANTANANARIVO,0,,,,,,TRUE,FALSE
C22256,CENTRE NOTRE DAME DE CLAIRVAUX,,IVATO,,ANTANANARIVO,0,,,,,,TRUE,FALSE
C22257,TFM,,LOT 003G10 AMBOHIBAO,,ANTANANARIVO,0,,,,2838372,597616,TRUE,FALSE
C22258,KARIBO HOTEL,,AVENUE DE L'INDEPENDANCE,,ANTANANARIVO,0,22 630 21,,,,,TRUE,FALSE
C22259,CLASSIC KNITWEARS,,LOT IVM66 ANDRAHARO,,ANTANANARIVO,0,,,,,527659,TRUE,FALSE
C22260,GARAGE GRMD,,LOT I J 56 ANTANJONA ANJANADRAMBONY,ITAOSY,ANTANANARIVO,0,,,,,,TRUE,FALSE
C22261,SOCIETE VESTA,,AMPASANIMALO,,ANTANANARIVO,0,22 317 87,22 223 43,,,,TRUE,FALSE
C22262,STDD,MME VOAHANGY RAKOTONIAINA,2A 5A AMBODITSIRY,,ANTANANARIVO,0,3370781,,,,532495,TRUE,FALSE
C22263,SIGMA,,LOT 16 D IMERINAFIVOANY,,ANTANANARIVO,0,22 583 59/60,22 588 60,,523 1221,24311 11 2000 0 010118,TRUE,FALSE
C22264,DISTRIVET SA,,LOT IVF 1C Ambodihady,Ambohimanarina,ANTANANARIVO,0,23 252 49,23 252 59,,,657 480,TRUE,FALSE
C22265,ENAC,,BP 163 IVATO AEROPORT,,ANTANANARIVO,1000000,22 445 27,,,105 008 625,60301 11 1987 0 00011,TRUE,FALSE
C22266,ORGANISATION MONDIALE DE LA SANTE,,RUE DR RASETA BP362,ANDRAHARO IMMEUBLE GALAXY,ANTANANARIVO,0,2231364/31371,2235554,,,,TRUE,FALSE
C22267,CGC MADAGASCAR,,LOT 098A AMBOHIBAO,,ANTANANARIVO,0,22 484 77,,,,633953,TRUE,FALSE
C22268,CONFISERIE DE L'ARCHE DE NOE,,TALATAMATY,,ANTANANARIVO,0,22 459 53,,,,,TRUE,FALSE
C22269,ECCAR,,LOT V09 MANAKAMBAHINY,,ANTANANARIVO,0,033 11 379 21,,,,432652,TRUE,FALSE
C22270,ENTREPRISE ANDRY,,LOT B 88  SABOTSINAMEHANA,,ANTANANARIVO,0,,,,,654279,TRUE,FALSE
C22271,ETABLISSEMENT BLANC VERT,,LOT 447 CITE AMBOHIPO,,ANTANANARIVO,0,320497764/2263278,,,,,TRUE,FALSE
C22272,GOLFY MALAZA,,AMPITATAFIKA,,ANTANANARIVO,0,320254216,,,,,TRUE,FALSE
C22273,TRANSPORTEUR VATSY,,Manjakaray,,ANTANANARIVO,0,2249035/0320214068,,,,549912,TRUE,FALSE
C22274,D1 OILS MADAGASCAR,,IVE 204 D AMBODIMITA,,ANTANANARIVO,0,24 255 32,23 359 91,,,,TRUE,FALSE
C22275,RED GRANITI MADAGASCAR,,VILLA CAMELIA IIM46ANDROHIBE,,ANTANANARIVO,0,2243522,2243529,red.madagascar@wanadoo.mg,,5.144111200301E+016,TRUE,FALSE
C22276,ETABLISSEMENT GALLOIS,,RUE BENYOWSKY  ISORAKA,,ANTANANARIVO,0,2222951,,STAT,,5.144111193001E+016,TRUE,FALSE
C22277,AMI D'OR,,IVL 58 E ANDOHATAPENAKA,,ANTANANARIVO,0,2264035/2263778,,,451325,15711111997000,TRUE,FALSE
C22278,RAMBALO SARL,,C 42 B ANDRANOMENA,,ANTANANARIVO,0,22 443 35,,,,607616,TRUE,FALSE
C22279,CORA ANKONRONDRANO,,ANKORONDRANO,,ANTANANARIVO,0,,,,,,TRUE,FALSE
C22280,PHARMACIE VOLAHANTA,MR RANDRIANASOLO,III V 1 ANOSIBE,,ANTANANARIVO,200000,22 355 09,,,,,TRUE,FALSE
C22281,PHARMACIE D'ATSIMONDRANO,MME ANDRIANARISOA,II A 21 Tanjombato,,ANTANANARIVO,200000,2246172/2410513,,,,,TRUE,FALSE
C22282,PHARMACIE DE TANA,M SIKA / M.ABDOUL,Antsahavola en face SBM,,ANTANANARIVO,200000,22 207 17 / 22 549 09,,,,,TRUE,FALSE
C22283,PHARMACIE D'AVARADRANO,MR LUCIEN,II N 87 BIS ANALAMAHITSY,,ANTANANARIVO,200000,2242365,,,,,TRUE,FALSE
C22284,PHARMACIE D'ANKADIFOTSY,M. HASSANALY / Mme. NICOLE,Ankadifotsy en face Lil'Optic,,ANTANANARIVO,200000,22 222 07,,,,,TRUE,FALSE
C22285,PHARMACIE D'ISORAKA,Mme. RAHARINIRINA,34, Avenue Jeneraly Gabriel Ramanan,ANTANANARIVO,200000,22 285 04,,,,,TRUE,FALSE
C22286,PHARMACIE IARIVO,RABODOLALAO Antoinette,4, rue Andrianampoinimerina,ANTANANARIVO,200000,22 224 26,,,,,TRUE,FALSE
C22287,PHARMACIE SOARY,,Lot 2 EVI Ampasapito,,ANTANANARIVO,200000,22 410 58,,,,,TRUE,FALSE
C22288,PHARMACIE TSARAMASAY,Mme. RASOARIVONY Marthe,Lot I V T 151 Tsaramasay,,ANTANANARIVO,200000,23 359 36,,,,,TRUE,FALSE
C22289,MAGASIN TAJ,MME FIROSE TAIBALY,Lot IBK 9 en face  BFV TSARALALANA,,ANTANANARIVO,0,22 687 16,,,,,TRUE,FALSE
C22290,SOGEMINE,,AMBOHIBAO,,ANTANANARIVO,0,22 443 82,,,645047,,TRUE,FALSE
C22291,RAKOTONAMPOIZINA Raodison,,MAJAKAZAFY AMBOHIDRATRIMO,,ANTANANARIVO,0,,,,,662039,TRUE,FALSE
C22292,SDmad,,ANDROHIBE,,ANTANANARIVO,1000000,2202978/320244478,,,,,TRUE,FALSE
C22293,MEDECIN DU MONDE,,BP 3633,coordinateur: Xavier Joubert,ANTANANARIVO,0,22 259 20 /0331163415,22 201 22,mdm@simicro.mg ; coordinateur.mdm@netclub.mg ,,,TRUE,FALSE
C22294,AMBASSADE D'EGYPTE,,MANDROSOA IVATO,,ANTANANARIVO,5000000,,,,,,TRUE,FALSE
C22295,RANDIMBISON,,LOT 36 A ANJEVA GARA,,,1000000,,,,,582523,TRUE,FALSE
C22296,SOCIET CELTO,,1 DF ANALAMAHITSY,,ANTANANARIVO,1000000,22 439 71,,,,,TRUE,FALSE
C22297,RAZAFINJARA FANJAMALALA,,FENOARIVO A/DRANO,,,0,,,,,572109,TRUE,FALSE
C22298,RASOLOMANANA CLAUDINE,,ALATSINAINY BAKARO,,,0,,,,,568290,TRUE,FALSE
C22299,SANIFER,,Lot 2I 20 AA Morarano,,,0,22 580 81/ 22 580 82,22 530 80,sanifer@wanadoo.mg,,540 798,TRUE,FALSE
C22300,PHARMACIE AMBODIVONA,,AMBODIVONA,,ANTANANARIVO,0,,,,,,TRUE,FALSE
C22301,ARONATY,,LOT VN7 AMBOHIJATOVO,,,0,331251648,,danielmeurville@moov.mg,32921 813,0119911 2007 0 10716,TRUE,FALSE
C22302,CABINET VETO MANASOA,,ANDRANOMANGATSIAKA MAEVATANANA,,,0,,,,,,TRUE,FALSE
C22303,SHOPRITE ANALAKELY,Mme TIANA ZO,Rue ANDRIANAMPOINIMERINA,ANALAKELY,,1000000,22 360 89,,orahariseheno@shoprite.co.za,10 500 8977,51 233 11 2002 010067,TRUE,FALSE
C22304,RANDRIAMANANTSOA,,AMBOHIBARY - ANJEPY,,,0,,,,,632152,TRUE,FALSE
C22305,RAVONJIHARIMALALA BODONIRINA,,IVF 01 AMBATOMITSANGANA,,ANTANANARIVO,0,0331224641PAVILLON AN,,,,11197400006,TRUE,FALSE
C22306,AGROFI,LINE ODETTE RAZAFINDRASOA,LOT 208 PLLE 21/51 MANGARIVOTRA SUD,,,0,033 14 141 75,,,57400,330927,TRUE,FALSE
C22307,RANDRIANAIVO MAURICE,,VOLOTARA ANDOHARANOFOTSY,,,0,,,,,,TRUE,FALSE
C22308,NOVA KNITS,,ZONE FORELLO TANJOMBATO,,ANTANANARIVO,0,22 253 12,,,1.07041119920001E+016,105002727,TRUE,FALSE
C22309,TRANOMBAROTRA SANTATRA,MR RALAMBO,B73 ANDREFATSENA SABOTSY NAMEHANA,,,6000000,24 676 09,,bounih83@yahoo.fr,13878580,5.21921120080009E+016,TRUE,FALSE
C22310,RAZAFINJARA LALAO,,LOT F J M 91MANDIOMANANA - FENOARIV,,,0,,,,,541176,TRUE,FALSE
C22311,SOCIETE RAV'HYGIENE,M. HERY,LOT 143 BIS AMBOJANAHARY ANTEHIROKA,GERANTE: Mme OLIVIA,ANTANANARIVO,1000000,2426947/0330289035,22 441 81/0331196006,,,112006003142,TRUE,FALSE
C22312,SOCIETE DIO,MR JEANNOT ERIC,LOT VC 55 AMBOHIDAHY 101 TANA,,,0,032 02 435 26,033 12 265 30,,,,TRUE,FALSE
C22313,SOCIETE YATAHEY,,BP5151,,ANTANANARIVO,0,22 581 85,22 581 86,,,608589,TRUE,FALSE
C22314,RAVELOARISOA Denise,Raaveloarisoa Denise,Ambohibao Sud-Mahitsy,,,0,,,,,652017,TRUE,FALSE
C22315,RAKOTOARIMANANA ARMAND,,AMBATOMAINTY FIADANANA,AMBOHIDRATRIMO,,0,,,,,8352335,TRUE,FALSE
C22316,KAZIK,,LOT IIIF 114 E ANTOHOMADINIKA,,ANTANANARIVO,7000000,331188505,,,1 2214838,52192 11 2006 0 00109,TRUE,FALSE
C22317,SEASOA,TAF,LOT 21/01-69 AVARATSENA-SOAV/DRIANA,,,0,,,,,,TRUE,FALSE
C22318,RAKOTONIRINA EMILE,,AMBOHIJAFY,,,0,,,,,127202,TRUE,FALSE
C22319,AGRICO,,BP1153,,ANTANANARIVO,1000000,2232499,,,36740,514 36 11 1987 0 000 27,TRUE,FALSE
C22320,PHARMACIE D'AMBOHIBAO,MME EULALIE,AMBOHIBAO,AMBOHIBAO,,500000,22 482 64,,,,522428,TRUE,FALSE
C22321,RAZANABAOARISOA PHILOMENE,,MANJAKANDRIANA,,,0,,,,,,TRUE,FALSE
C22322,QMM SA,,IVANDRY VILLA 3H LOT II J 169,BP4003,ANTANANARIVO,1000000,22 425 59,2242506,,,,TRUE,FALSE
C22323,SEPCM,MR JOHNNY,BOULEVARD GAL RATSIMANDRAVA,SOANIERANA BP 134,,30000000,22 -29146/ 53/54,22 291 63,sepcm@simicro.mg,,1151,TRUE,FALSE
C22324,RAJAONAVAH,,ANKAZOBE PK 106,ROUTE DE MAJUNGA,,0,0320421067/LUN/JEUDI,,,,,TRUE,FALSE
C22325,SOCIETE ALNAT,,BATIMENT 7 LOT 5 CITE VOLOSARIKA,,ANTANANARIVO,0,,,,11151813,74359 11 2005 0 00235,TRUE,FALSE
C22326,COT ILAFY,2907,ILAFY,,,1000000,24 104 27,,,,,TRUE,FALSE
C22327,CANDYTEX-MADAGASCAR,,PK 12 ROUTE MAJUNGA,,ANTANANARIVO,0,24 236 58,,,105011122,1801111 2005 00 3312,TRUE,FALSE
C22328,TARMAC SARL,MME BERSIA,BP Zoom 12215 Antananarivo,,,0,320761900,,,,,TRUE,FALSE
C22329,ANDRIAMBOAVONJY FANO,,CARION,,,1000000,42 690 05,,,8935164,639371,TRUE,FALSE
C22330,PECHERIE DU MENABE ET DU MELAKY,MR ROMAIN/MR LIVA,77, Rue  Solombavambahoaka,ANTANANARIVO,2000000,22 225 55,22 645 61,allain@freenet.mg,,,TRUE,FALSE
C22331,TRANS-OCEAN,,IVATO,,,0,033 14 482 66,,,,,TRUE,FALSE
C22332,COMMUNE URBAINE ANTANANARIVO,,,,ANTANANARIVO,0,,,,,,TRUE,FALSE
C22333,CODAL,MR OLIVIER,ROUTE DES HYDROCARBURES BP 1426,,ANTANANARIVO,0,22 234 24,22 247 44,codal@moov.mg,075 335,15 301 11 1948 1 10003,TRUE,FALSE
C22334,COOPERATIVE FY,,BP 7 AMPIHIRANA AMBATOMANGA,,,1000000,42 670 02/24 104 02,,,,,TRUE,FALSE
C22335,CABINET VETO MAMONJISOA,,ANTANETIBE ANJOZOROBE,TAXI BROUSSE ANTANETIBE ANATIVOLO,,0,22 204 60 (mme liva),,,,,TRUE,FALSE
C22336,ENTREPRISE JEMSH,Mr JEMSH (GERANT),BP 8447 - Lot IP12,Rue Dr Ranaivo,ANTANANARIVO,70000000,23 602 23/ 0320529407,,,,107 006 336,TRUE,FALSE
C22337,SERVAU PATISSERIE,,LEADER PRICE,,,0,,,,,,TRUE,FALSE
C22338,LES ENFANTS DU SOLEIL,,ITAOSY,,,0,,,,,,TRUE,FALSE
C22339,PROCHIMAD,,BP 3195 MANDROSOA IVATO,,ANTANANARIVO,0,22 44140/442 38,,,,57802,TRUE,FALSE
C22340,RAFIDIARISON GEORGES,,AMBOHIDRANOMANGA MAHITSY,,,0,324012584,,,,,TRUE,FALSE
C22341,IRANJA,M. Riaz BARDAY,Bureau de liaison BP 3844 Antananar,,ANTANANARIVO,0,86 616 90/2257110,2257111,iranja@simicro.mg,,,TRUE,FALSE
C22342,RANDRIAMISAINA Michel,,Antanetibe Mahazaza Mahitsy,,,3000000,320480598,,,,,TRUE,FALSE
C22343,RASELISON  FARA,,ANKADIKELY ILAFY,,,0,,,,,,TRUE,FALSE
C22344,ETABLISSEMENT R,,ISAHAFA SABOTSY NAMEHANA,,ANTANANARIVO AV,0,,,,,153137,TRUE,FALSE
C22345,RAZANADRAKETAKA  MARIETTE,,MAHITSY,,,50000000,,,,,,TRUE,FALSE
C22346,RALANTONIRINA Julien,,AMBOHITRAIVO MAHITSY,,,0,,,,,,TRUE,FALSE
C22347,BOUTIQUE JOVENNA IMAINTSOANALA,MME RATOANINA Vololomanana Giline,STATION SERVICE JOVENNA AMBOHIJATOV,AMBOHIJATOVO,ANTANANARIVVO,500000,22 646 92,,,344437,113786,TRUE,FALSE
C22348,RAMANANTENASOA MARIE ANGELE,,ANTANETIBE MAHAZAZA MAHITSY,,,2000000,,,,,,TRUE,FALSE
C22349,RAZAFINDRAZANAKA Sedimanana Rolland,,MAHASOLO TSIROANOMANDIDY,,,0,,,,,52192142005000,TRUE,FALSE
C22350,BOUTIQUE JOVENNA HAINGO,MR RAKOTONDRAMANITRA Tahiana,Station Service JOVENNA  Antanimena,ANTANIMENA,ANTANANARIVVO,500000,2233958/46833/0212395,,,7230824,116414,TRUE,FALSE
C22351,JUMBO SCORE TANJOMBATO,,TANJOMBATO ZI FORELLO,,,6000000,,,,61 819,552 227 101,TRUE,FALSE
C22352,AVICULTEUR,MR TIANA RAMANATAFIKA,II F7 FITROHAFANA MANDROSOA,IVATO,,0,24 523 77,,,12190520,52223 11 2005 0 03091,TRUE,FALSE
C22353,BOUTIQUE JOVENNA AMPASIKA,CHAN SION MOY JEAN LUC,Station Service JOVENNA AMPASIKA,AMPASIKA,ANTANANARIVVO,500000,2226852/ 0320400209,,,,,TRUE,FALSE
C22354,PHARMACIE SOANDRY,Mme. RAJOHNSON,Immeuble Ranarivelo Behoririka,,,200000,22 286 85,,,,,TRUE,FALSE
C22355,SOCIETE LIANTSOA,MR RASAMOELINA JEANNOT,AD 58 BIS ANDOBOTANY,ILAFY ANKADIKELY,,10000000,22 246 79,,,105003284,5.136711199801E+016,TRUE,FALSE
C22356,RALAMBOSOA SAHALA,,C/O AGRIVET,,ANTANANRIVO,0,,,,,,TRUE,FALSE
C22357,ASSOCIATION RANOFOTSY,,ANDOHARANOFOTSY,,,0,,,,,,TRUE,FALSE
C22358,PHARMACIE NY NOSY,,,,,0,,,,,,TRUE,FALSE
C22359,QUINCAILLERIE MOD,,,,,5000000,,,,,,TRUE,FALSE
C22360,SEAR,MME BAKOLY,AMBODITSIRY,,,0,324008690,22 492 91,sear_tnr@yahoo.fr,,,TRUE,FALSE
C22361,UNIVERS CANIN,,ANDRAKAJA ANOSIALA AMBOHIDRATRIMO,,,8000000,320445458,,,24 74 1813,10938,TRUE,FALSE
C22362,RAPHIA VERT,,,,,0,,,,,518812,TRUE,FALSE
C22363,JACARANDAS,RAVELOSON CHRISTIAN,LOT 1301MD MANDROSOA,IVATO,,0,22 483 39,22 483 39,jacarandasarl@wanadoo.mg,105014072200,5.11051120040101E+016,TRUE,FALSE
C22364,CDRAAP,,,,,0,,,,,533073,TRUE,FALSE
C22365,PHARMACIE VETO IMANASOA,DR RASAMOELISON RANAIVO,LOT VF 77,IMERITSIATOSIKA,,2000000,48 834 31,,,,52222131993 35,TRUE,FALSE
