".id","inventory_line_id/location_id","inventory_line_id/product_id","inventory_line_id/product_qty"
,"Showroom Alarobia","CAR_3030_170",0.09
,"Depot Tamatave","CAR_3030_170",2.82
,"Depot Ivandry","CAR_3030_170",15.442
,"Showroom Alarobia","CAR_3030_171",0.116
,"Depot Tamatave","CAR_3030_171",3
,"Depot Ivandry","CAR_3030_171",170.335
,"Showroom Alarobia","CAR_3030_172",0.14
,"Depot Tamatave","CAR_3030_172",4
,"Depot Ivandry","CAR_3030_172",25.182
,"Depot Andranomena","CAR_3030_172",276.851
,"Showroom Alarobia","CAR_3030_173",0.24
,"Depot Tamatave","CAR_3030_173",1
,"Depot Ivandry","CAR_3030_173",12.884
,"Depot Andranomena","CAR_3030_173",206.113
,"Showroom Alarobia","CAR_3030_174",0.19
,"Depot Tamatave","CAR_3030_174",1
,"Depot Andranomena","CAR_3030_174",1.101
,"Depot Ivandry","CAR_3030_174",277.413
,"Showroom Alarobia","CAR_3030_175",0.148
,"Depot Tamatave","CAR_3030_175",12.06
,"Depot Andranomena","CAR_3030_175",177.579
,"Showroom Alarobia","CAR_3030_176",0.09
,"Depot Andranomena","CAR_3030_176",11.617
,"Depot Tamatave","CAR_3030_176",38
,"Depot Ivandry","CAR_3030_176",104.94
,"Showroom Alarobia","CAR_3030_177",0.14
,"Depot Tamatave","CAR_3030_177",96.06
,"Depot Andranomena","CAR_3030_177",172.502
,"Showroom Alarobia","CAR_3030_178",0.09
,"Depot Ivandry","CAR_3030_178",18.454
,"Depot Andranomena","CAR_3030_178",183.611
,"Showroom Alarobia","CAR_3030_179",0.14
,"Depot Tamatave","CAR_3030_179",2.06
,"Depot Ivandry","CAR_3030_179",58.232
,"Depot Andranomena","CAR_3030_179",66.27
,"Depot Ivandry","CAR_3030_182",299.82
,"Depot Ivandry","CAR_3030_183",299.91
,"Depot Alarobia","CAR_3030_999",52
,"Showroom Alarobia","CAR_3045_001",0.5
,"Depot Tamatave","CAR_3045_001",9
,"Depot Tamatave","CAR_3045_002",2
,"SMOI (Discoi)","CAR_3045_003",1
,"Depot Alarobia","CAR_3045_003",34
,"Depot Andranomena","CAR_3045_004",3
,"Depot Alarobia","CAR_3045_004",5
,"Depot Tamatave","CAR_3045_004",9
,"Depot Andranomena","CAR_3045_005",1.75
,"Depot Tamatave","CAR_3045_005",2
,"Depot Ivandry","CAR_3045_005",8
,"Depot Alarobia","CAR_3045_006",11
,"Showroom Alarobia","CAR_3045_007",0.333
,"Showroom Alarobia","CAR_3045_008",0.634
,"Depot Tamatave","CAR_3045_008",35.83
,"Depot Ivandry","CAR_3045_008",288.696
,"Showroom Alarobia","CAR_3045_009",0.135
,"Depot Tamatave","CAR_3045_009",2.17
,"Depot Ivandry","CAR_3045_009",22.195
,"Showroom Alarobia","CAR_3045_010",0.634
,"Depot Tamatave","CAR_3045_010",26.67
,"Depot Ivandry","CAR_3045_010",264.125
,"Showroom Alarobia","CAR_3045_011",0.33
,"Depot Tamatave","CAR_3045_011",23
,"Depot Ivandry","CAR_3045_011",993.682
,"Showroom Alarobia","CAR_3045_012",0.25
,"Depot Tamatave","CAR_3045_012",2.75
,"Depot Ivandry","CAR_3045_012",395.687
,"Showroom Alarobia","CAR_3045_013",0.25
,"Depot Tamatave","CAR_3045_013",36.34
,"Depot Ivandry","CAR_3045_013",685.867
,"Showroom Alarobia","CAR_3045_014",0.416
,"Depot Tamatave","CAR_3045_014",3.54
,"Depot Ivandry","CAR_3045_014",469.444
,"Showroom Alarobia","CAR_3045_015",0.333
,"Depot Tamatave","CAR_3045_015",9.35
,"Depot Ivandry","CAR_3045_015",540.618
,"Showroom Alarobia","CAR_3045_016",0.25
,"Depot Tamatave","CAR_3045_016",31.92
,"Depot Ivandry","CAR_3045_016",276.772
,"Showroom Alarobia","CAR_3045_017",0.333
,"Depot Tamatave","CAR_3045_017",5.83
,"Depot Ivandry","CAR_3045_017",476.833
,"Showroom Alarobia","CAR_3045_018",0.25
,"Depot Tamatave","CAR_3045_018",15.335
,"Depot Ivandry","CAR_3045_018",315.918
,"Showroom Alarobia","CAR_3045_019",0.25
,"Depot Tamatave","CAR_3045_019",45.75
,"Depot Ivandry","CAR_3045_019",376.101
,"Showroom Alarobia","CAR_3045_020",0.25
,"Depot Tamatave","CAR_3045_020",21.42
,"Depot Ivandry","CAR_3045_020",648.407
,"Showroom Alarobia","CAR_3045_021",0.333
,"Depot Tamatave","CAR_3045_021",91.17
,"Depot Ivandry","CAR_3045_021",323.271
,"Showroom Alarobia","CAR_3045_022",0.333
,"Depot Tamatave","CAR_3045_022",0.83
,"Depot Ivandry","CAR_3045_022",975.224
,"Showroom Alarobia","CAR_3045_023",0.333
,"Depot Tamatave","CAR_3045_023",49.75
,"Depot Ivandry","CAR_3045_023",404.594
,"Showroom Alarobia","CAR_3045_024",0.25
,"Depot Tamatave","CAR_3045_024",5.11
,"Depot Ivandry","CAR_3045_024",828.881
,"Depot Tamatave","CAR_3060_001",4
,"Depot Alarobia","CAR_3060_001",25
,"DIGITAL (Magasin)","CAR_3060_002",1
,"Depot Tamatave","CAR_3060_002",4
,"SMOI (Discoi)","CAR_3060_002",9
,"Depot Alarobia","CAR_3060_002",24
,"Depot Andranomena","CAR_3060_003",1
,"DIGITAL (Magasin)","CAR_3060_004",1
,"SMOI (Discoi)","CAR_3060_004",2
,"Depot Tamatave","CAR_3060_004",5
,"Depot Ivandry","CAR_3060_004",138
,"Depot Andranomena","CAR_3060_004",173
,"Depot Tamatave","CAR_3060_005",1
,"SMOI (Discoi)","CAR_3060_005",1
,"Depot Ivandry","CAR_3060_005",40
,"SMOI (Discoi)","CAR_3060_006",2
,"Depot Tamatave","CAR_3060_006",9
,"Depot Alarobia","CAR_3060_006",9
,"Depot Andranomena","CAR_3060_006",37
,"Depot Ivandry","CAR_3060_006",161
,"Depot Tamatave","CAR_3060_007",1
,"Depot Alarobia","CAR_3060_007",10
,"SMOI (Discoi)","CAR_3060_008",1
,"Depot Alarobia","CAR_3060_008",4
,"Depot Tamatave","CAR_3060_008",8
,"DIGITAL (Magasin)","CAR_3060_009",1
,"SMOI (Discoi)","CAR_3060_009",1
,"Depot Tamatave","CAR_3060_009",15
,"Depot Alarobia","CAR_3060_009",17
,"Showroom Alarobia","CAR_3060_010",0.78
,"Depot Tamatave","CAR_3060_010",2.6
,"Depot Ivandry","CAR_3060_010",167.53
,"Showroom Alarobia","CAR_3060_011",0.78
,"Depot Tamatave","CAR_3060_011",13.6
,"Depot Ivandry","CAR_3060_011",42.569
,"Showroom Alarobia","CAR_3060_012",0.78
,"Depot Tamatave","CAR_3060_012",3.6
,"Depot Ivandry","CAR_3060_012",361.9
,"Showroom Alarobia","CAR_3060_013",0.78
,"Depot Tamatave","CAR_3060_013",28.6
,"Depot Ivandry","CAR_3060_013",478.92
,"Showroom Alarobia","CAR_3060_014",0.78
,"Depot Ivandry","CAR_3060_014",30.96
,"Depot Tamatave","CAR_3060_014",44.4
,"Depot Andranomena","CAR_3131_001",0.714
,"MAJUNGA","CAR_3131_001",1
,"SMOI (Discoi)","CAR_3131_001",6.286
,"DIGITAL (Magasin)","CAR_3131_001",12
,"Depot Tamatave","CAR_3131_001",31
,"Depot Alarobia","CAR_3131_001",160.938
,"Depot Alarobia","CAR_3131_002",10
,"Depot Tamatave","CAR_3131_003",3
,"Depot Tamatave","CAR_3131_004",5
,"Depot Alarobia","CAR_3131_004",40.938
,"MAJUNGA","CAR_3131_005",1
,"Depot Alarobia","CAR_3131_005",13.938
,"Depot Tamatave","CAR_3131_005",25
,"Showroom Alarobia","CAR_3131_006",0.062
,"Depot Tamatave","CAR_3131_006",19
,"Depot Alarobia","CAR_3131_006",30.938
,"Depot Tamatave","CAR_3131_007",30
,"Depot Alarobia","CAR_3131_007",60.873
,"Depot Alarobia","CAR_3131_008",49.4
,"Depot Tamatave","CAR_3131_008",51
,"Depot Tamatave","CAR_3131_009",1
,"Depot Alarobia","CAR_3131_009",13.697
,"Depot Alarobia","CAR_3131_010",24.861
,"Depot Tamatave","CAR_3131_010",31.066
,"Depot Tamatave","CAR_3131_011",0.066
,"Depot Alarobia","CAR_3131_011",57.867
,"Depot Tamatave","CAR_3131_012",31.066
,"Depot Alarobia","CAR_3131_012",40.867
,"Depot Tamatave","CAR_3131_013",1
,"Depot Alarobia","CAR_3131_013",12.14
,"Depot Tamatave","CAR_3131_014",1
,"Depot Alarobia","CAR_3131_014",7.873
,"Depot Tamatave","CAR_3131_015",30
,"Depot Alarobia","CAR_3131_015",82
,"Depot Alarobia","CAR_3131_016",43.34
,"Depot Alarobia","CAR_3131_017",8.742
,"Depot Alarobia","CAR_3131_018",16.474
,"Depot Alarobia","CAR_3131_019",65.941
,"Depot Tamatave","CAR_3131_020",29.93
,"Depot Alarobia","CAR_3131_020",56.667
,"Depot Alarobia","CAR_3131_021",34.934
,"Showroom Alarobia","CAR_3131_022",0.066
,"Depot Tamatave","CAR_3131_022",30
,"Depot Alarobia","CAR_3131_022",94.934
,"Showroom Alarobia","CAR_3131_023",0.066
,"Depot Alarobia","CAR_3131_023",5.535
,"Showroom Alarobia","CAR_3131_024",0.066
,"Depot Alarobia","CAR_3131_024",3.623
,"Depot Tamatave","CAR_3333_001",36
,"Depot Alarobia","CAR_3333_002",54
,"DIGITAL (Magasin)","CAR_3333_004",2
,"Depot Tamatave","CAR_3333_004",20
,"SMOI (Discoi)","CAR_3333_004",75
,"Depot Alarobia","CAR_3333_004",109
,"Depot Tamatave","CAR_3333_005",5
,"Depot Alarobia","CAR_3333_005",17
,"Depot Tamatave","CAR_3333_006",3
,"Depot Alarobia","CAR_3333_006",10
,"Depot Tamatave","CAR_3333_007",5
,"Depot Alarobia","CAR_3333_007",9
,"SMOI (Discoi)","CAR_3333_007",10
,"Depot Tamatave","CAR_3333_008",1
,"Depot Tamatave","CAR_3333_009",10
,"SMOI (Discoi)","CAR_3333_009",10
,"Depot Alarobia","CAR_3333_009",20
,"DIGITAL (Magasin)","CAR_3333_010",1
,"Depot Tamatave","CAR_3333_010",8
,"Showroom Alarobia","CAR_3333_010",10
,"Depot Alarobia","CAR_3333_010",42
,"DIGITAL (Magasin)","CAR_3333_011",1
,"SMOI (Discoi)","CAR_3333_011",1
,"Showroom Alarobia","CAR_3333_011",10
,"Depot Tamatave","CAR_3333_011",16
,"Depot Alarobia","CAR_3333_011",75
,"Depot Andranomena","CAR_3333_011",277
,"DIGITAL (Magasin)","CAR_3333_012",1
,"SMOI (Discoi)","CAR_3333_012",2
,"Depot Tamatave","CAR_3333_012",3
,"Showroom Alarobia","CAR_3333_012",3
,"Depot Andranomena","CAR_3333_012",14
,"Depot Alarobia","CAR_3333_012",35
,"DIGITAL (Magasin)","CAR_3333_013",1
,"SMOI (Discoi)","CAR_3333_013",1
,"Showroom Alarobia","CAR_3333_013",10
,"Depot Alarobia","CAR_3333_013",30
,"Depot Tamatave","CAR_3333_013",43
,"Depot Andranomena","CAR_3333_013",46
,"DIGITAL (Magasin)","CAR_3333_014",1
,"Depot Alarobia","CAR_3333_014",47
,"Depot Tamatave","CAR_3333_014",78
,"DIGITAL (Magasin)","CAR_3333_015",1
,"Depot Alarobia","CAR_3333_015",35
,"Depot Tamatave","CAR_3333_015",41
,"Depot Tamatave","CAR_3333_016",1
,"DIGITAL (Magasin)","CAR_3333_016",1
,"SMOI (Discoi)","CAR_3333_016",1
,"Depot Alarobia","CAR_3333_016",16
,"DIGITAL (Magasin)","CAR_3333_017",1
,"Depot Tamatave","CAR_3333_017",9
,"Showroom Alarobia","CAR_3333_017",10
,"Depot Alarobia","CAR_3333_017",10
,"Showroom Alarobia","CAR_3333_018",1.63
,"Depot Tamatave","CAR_3333_018",5
,"Depot Alarobia","CAR_3333_018",171.37
,"Showroom Alarobia","CAR_3333_019",0.9
,"Depot Alarobia","CAR_3333_019",208.011
,"Showroom Alarobia","CAR_3333_020",0.9
,"Depot Alarobia","CAR_3333_020",247.1
,"Showroom Alarobia","CAR_3333_021",0.18
,"Depot Tamatave","CAR_3333_021",29.91
,"Depot Alarobia","CAR_3333_021",124.73
,"Showroom Alarobia","CAR_3333_022",0.18
,"Depot Alarobia","CAR_3333_022",150.73
,"Showroom Alarobia","CAR_3333_023",0.18
,"Depot Tamatave","CAR_3333_023",1
,"Depot Alarobia","CAR_3333_023",3.82
,"Showroom Alarobia","CAR_3333_024",0.18
,"Depot Alarobia","CAR_3333_024",42.457
,"Showroom Alarobia","CAR_3333_025",0.18
,"Depot Alarobia","CAR_3333_025",128.82
,"Showroom Alarobia","CAR_3333_026",0.18
,"Depot Alarobia","CAR_3333_026",143.82
,"Showroom Alarobia","CAR_3333_027",0.09
,"Depot Alarobia","CAR_3333_027",115.91
,"Depot Tamatave","CAR_3333_028",50
,"Depot Alarobia","CAR_3333_028",105
,"Showroom Alarobia","CAR_3333_029",0.09
,"Depot Tamatave","CAR_3333_029",30
,"Depot Alarobia","CAR_3333_029",126.91
,"Depot Alarobia","CAR_3333_030",1.37
,"Showroom Alarobia","CAR_3333_030",1.63
,"Showroom Alarobia","CAR_3333_031",1
,"Showroom Alarobia","CAR_3333_032",0.09
,"Depot Alarobia","CAR_3333_032",89.556
,"Showroom Alarobia","CAR_3333_033",0.09
,"Depot Tamatave","CAR_3333_033",29.91
,"Depot Alarobia","CAR_3333_033",103.91
,"Depot Alarobia","CAR_3333_034",2
,"Depot Tamatave","CAR_3333_034",5
,"Showroom Alarobia","CAR_3333_035",1.63
,"Depot Tamatave","CAR_3333_035",5
,"Depot Alarobia","CAR_3333_035",94.37
,"Depot Andranomena","CAR_3333_036",3
,"Depot Alarobia","CAR_3333_036",16.088
,"Depot Tamatave","CAR_3333_037",29.88
,"Depot Alarobia","CAR_3333_037",105.674
,"Depot Andranomena","CAR_3333_038",11
,"Depot Alarobia","CAR_3333_038",27
,"Depot Andranomena","CAR_3333_039",8
,"Depot Tamatave","CAR_3333_039",30
,"Depot Alarobia","CAR_3333_039",80.445
,"Depot Andranomena","CAR_3333_040",11
,"Depot Alarobia","CAR_3333_040",23.917
,"Depot Alarobia","CAR_3333_041",10
,"Depot Alarobia","CAR_3333_042",75.68
,"Depot Tamatave","CAR_3333_043",6
,"Depot Alarobia","CAR_3333_043",38.236
,"Depot Alarobia","CAR_3333_044",14.853
,"Depot Tamatave","CAR_3333_044",31.706
,"Depot Tamatave","CAR_3333_045",27.656
,"Depot Alarobia","CAR_3333_045",110.853
,"Depot Tamatave","CAR_3333_046",1
,"Depot Alarobia","CAR_3333_046",1.109
,"Depot Tamatave","CAR_3333_047",1
,"Depot Alarobia","CAR_3333_047",3.117
,"Depot Tamatave","CAR_3333_048",51.076
,"Depot Alarobia","CAR_3333_048",110.813
,"Depot Tamatave","CAR_3333_049",4
,"Depot Alarobia","CAR_3333_049",37.895
,"Depot Tamatave","CAR_3333_050",1
,"Depot Alarobia","CAR_3333_050",5.889
,"Depot Tamatave","CAR_3333_051",1
,"Showroom Alarobia","CAR_3333_051",2
,"Depot Alarobia","CAR_3333_051",223.889
,"Depot Tamatave","CAR_3333_052",1
,"Depot Alarobia","CAR_3333_052",219.439
,"Showroom Alarobia","CAR_3333_053",2
,"Depot Alarobia","CAR_3333_053",109.155
,"Depot Tamatave","CAR_3333_054",30
,"Depot Alarobia","CAR_3333_054",103.923
,"Depot Alarobia","CAR_3333_055",12.01
,"Depot Tamatave","CAR_3333_055",28
,"Depot Alarobia","CAR_3333_056",48.923
,"Depot Tamatave","CAR_3333_057",30.076
,"Depot Alarobia","CAR_3333_057",110.201
,"Showroom Alarobia","CAR_3333_058",2
,"Depot Alarobia","CAR_3333_058",80.311
,"Depot Alarobia","CAR_3333_059",3.77
,"Showroom Alarobia","CAR_3333_060",2
,"Depot Alarobia","CAR_3333_060",214
,"Showroom Alarobia","CAR_3333_061",2
,"Depot Tamatave","CAR_3333_061",30.076
,"Depot Alarobia","CAR_3333_061",93.813
,"Showroom Alarobia","CAR_3333_062",0.23
,"Depot Tamatave","CAR_3333_062",30
,"Depot Alarobia","CAR_3333_062",100.305
,"Showroom Alarobia","CAR_3333_063",0.23
,"Depot Alarobia","CAR_3333_063",51.868
,"Showroom Alarobia","CAR_3333_064",0.23
,"Depot Alarobia","CAR_3333_064",14.588
,"Showroom Alarobia","CAR_3333_065",0.23
,"Depot Alarobia","CAR_3333_065",59.18
,"Showroom Alarobia","CAR_3333_066",2
,"Depot Alarobia","CAR_3333_066",106
,"Showroom Alarobia","CAR_3333_067",2
,"Depot Alarobia","CAR_3333_067",52
,"DIGITAL (Magasin)","CAR_3360_001",2
,"Depot Alarobia","CAR_3360_001",11
,"Depot Alarobia","CAR_3360_002",2
,"Depot Tamatave","CAR_3360_003",1
,"Depot Alarobia","CAR_3360_003",58
,"Depot Alarobia","CAR_3366_001",1
,"Showroom Alarobia","CAR_3434_001",0.083
,"Depot Tamatave","CAR_3434_001",44
,"Depot Alarobia","CAR_3434_001",51.917
,"DIGITAL (Magasin)","CAR_3434_002",2
,"Depot Tamatave","CAR_3434_002",15
,"Depot Alarobia","CAR_3434_002",53
,"Showroom Alarobia","CAR_3434_003",0.083
,"Depot Alarobia","CAR_3434_003",23.917
,"Depot Tamatave","CAR_3434_003",37
,"Showroom Alarobia","CAR_3434_004",0.083
,"Depot Tamatave","CAR_3434_004",29.6
,"Depot Alarobia","CAR_3434_004",85.917
,"DIGITAL (Magasin)","CAR_3434_005",5
,"Depot Tamatave","CAR_3434_005",7
,"Depot Alarobia","CAR_3434_005",26.916
,"MAJUNGA","CAR_3434_006",1
,"Depot Tamatave","CAR_3434_006",2
,"Depot Alarobia","CAR_3434_006",13.93
,"SMOI (Discoi)","CAR_3434_007",2
,"Depot Tamatave","CAR_3434_007",9
,"Depot Alarobia","CAR_3434_007",19
,"Showroom Alarobia","CAR_3434_008",0.142
,"MAJUNGA","CAR_3434_008",1
,"SMOI (Discoi)","CAR_3434_008",10
,"Depot Tamatave","CAR_3434_008",39
,"Depot Alarobia","CAR_3434_008",122.29
,"Showroom Alarobia","CAR_3434_009",0.071
,"MAJUNGA","CAR_3434_009",1
,"SMOI (Discoi)","CAR_3434_009",25
,"Depot Tamatave","CAR_3434_009",40
,"Depot Alarobia","CAR_3434_009",245.642
,"Depot Tamatave","CAR_3434_010",2
,"Depot Alarobia","CAR_3434_010",11
,"SMOI (Discoi)","CAR_3434_010",37
,"MAJUNGA","CAR_3434_011",1
,"Depot Tamatave","CAR_3434_011",25
,"Depot Andranomena","CAR_3434_011",28
,"Depot Alarobia","CAR_3434_011",153.172
,"MAJUNGA","CAR_3434_012",1
,"Depot Tamatave","CAR_3434_012",25
,"Depot Alarobia","CAR_3434_012",99.008
,"MAJUNGA","CAR_3434_013",1
,"SMOI (Discoi)","CAR_3434_013",15
,"Depot Tamatave","CAR_3434_013",25
,"Depot Andranomena","CAR_3434_013",32
,"Depot Alarobia","CAR_3434_013",137.522
,"Depot Tamatave","CAR_3434_014",15
,"Depot Alarobia","CAR_3434_014",104.584
,"Depot Tamatave","CAR_3434_015",3
,"Depot Alarobia","CAR_3434_015",4.572
,"Depot Andranomena","CAR_3434_015",6
,"SMOI (Discoi)","CAR_3434_015",11
,"Showroom Alarobia","CAR_3456_001",5
,"Depot Andranomena","CAR_3456_001",17
,"Depot Tamatave","CAR_3456_001",25
,"Depot Alarobia","CAR_3456_001",268.833
,"Showroom Alarobia","CAR_3456_002",5
,"Depot Tamatave","CAR_3456_002",25
,"Depot Andranomena","CAR_3456_002",37
,"Depot Alarobia","CAR_3456_002",231.166
,"Showroom Alarobia","CAR_3456_003",5
,"Depot Andranomena","CAR_3456_003",15
,"Depot Tamatave","CAR_3456_003",23
,"Depot Alarobia","CAR_3456_003",265
,"Depot Alarobia","CAR_3456_004",4
,"Showroom Alarobia","CAR_3456_004",5
,"Depot Andranomena","CAR_3456_004",15
,"Depot Tamatave","CAR_3456_004",23
,"Depot Alarobia","CAR_3535_001",146.91
,"SMOI (Discoi)","CAR_3535_002",10
,"Depot Tamatave","CAR_3535_002",19
,"Depot Andranomena","CAR_3535_002",31
,"Depot Alarobia","CAR_3535_002",233
,"SMOI (Discoi)","CAR_3535_003",10
,"Depot Tamatave","CAR_3535_003",25
,"Depot Alarobia","CAR_3535_003",38
,"Depot Andranomena","CAR_3535_003",82
,"Depot Tamatave","CAR_3939_001",1
,"Depot Ivandry","CAR_3939_001",355.667
,"Depot Ivandry","CAR_3939_002",466.667
,"Depot Ivandry","CAR_3939_003",7.834
,"Depot Tamatave","CAR_3939_003",34
,"DIGITAL (Magasin)","CAR_4040_001",1
,"Depot Alarobia","CAR_4040_001",1
,"Depot Tamatave","CAR_4040_001",20.1
,"Depot Andranomena","CAR_4040_001",79.9
,"Depot Ivandry","CAR_4040_001",320.3
,"Depot Tamatave","CAR_4040_002",9
,"Depot Alarobia","CAR_4040_002",32
,"Depot Andranomena","CAR_4040_002",116.6
,"Depot Ivandry","CAR_4040_002",196.6
,"DIGITAL (Magasin)","CAR_4040_003",1
,"Depot Andranomena","CAR_4040_003",23
,"Depot Alarobia","CAR_4040_003",31
,"Showroom Alarobia","CAR_4040_004",0.1
,"Depot Tamatave","CAR_4040_004",0.9
,"Depot Ivandry","CAR_4040_004",369.6
,"Showroom Alarobia","CAR_4040_005",0.1
,"DIGITAL (Magasin)","CAR_4040_005",1
,"Depot Tamatave","CAR_4040_005",39
,"Depot Alarobia","CAR_4040_005",53.9
,"Depot Andranomena","CAR_4040_005",127.8
,"Depot Ivandry","CAR_4040_005",362
,"Showroom Alarobia","CAR_4040_006",0.2
,"Depot Alarobia","CAR_4040_006",28.8
,"Depot Tamatave","CAR_4040_006",36.8
,"Depot Andranomena","CAR_4040_006",96.8
,"Depot Ivandry","CAR_4040_006",658.3
,"Depot Tamatave","CAR_4040_007",39
,"Depot Alarobia","CAR_4040_007",48
,"Depot Andranomena","CAR_4040_007",81.72
,"Depot Ivandry","CAR_4040_007",125.86
,"Showroom Alarobia","CAR_4040_008",0.1
,"Depot Tamatave","CAR_4040_008",3
,"Depot Ivandry","CAR_4040_008",196.59
,"Showroom Alarobia","CAR_4040_009",0.2
,"Depot Tamatave","CAR_4040_009",4
,"Depot Andranomena","CAR_4040_009",49.7
,"Depot Ivandry","CAR_4040_009",110.6
,"Depot Tamatave","CAR_4040_010",1
,"Depot Alarobia","CAR_4040_010",8.667
,"Depot Andranomena","CAR_4040_010",96.3
,"Depot Ivandry","CAR_4040_011",1.3
,"Depot Tamatave","CAR_4040_011",18
,"Depot Alarobia","CAR_4040_011",25.6
,"Depot Andranomena","CAR_4040_011",64.6
,"DIGITAL (Magasin)","CAR_4040_012",1
,"Depot Tamatave","CAR_4040_012",10
,"Depot Alarobia","CAR_4040_012",47
,"Depot Tamatave","CAR_4040_013",1
,"SMOI (Discoi)","CAR_4040_013",10
,"Depot Alarobia","CAR_4040_013",33
,"Depot Tamatave","CAR_4040_014",8
,"Depot Alarobia","CAR_4040_015",96
,"Depot Tamatave","CAR_4040_016",104
,"Depot Alarobia","CAR_4040_017",7
,"Depot Alarobia","CAR_4040_018",2
,"Depot Tamatave","CAR_4040_018",3
,"Depot Tamatave","CAR_4040_019",17
,"DIGITAL (Magasin)","CAR_4040_020",1
,"Depot Tamatave","CAR_4040_020",10
,"Depot Alarobia","CAR_4040_020",17
,"DIGITAL (Magasin)","CAR_4040_021",1
,"Depot Tamatave","CAR_4040_021",5.55
,"Depot Alarobia","CAR_4040_021",14
,"Depot Alarobia","CAR_4040_022",14
,"Depot Tamatave","CAR_4040_022",21
,"Depot Andranomena","CAR_4040_022",118
,"Depot Tamatave","CAR_4040_023",5
,"Depot Alarobia","CAR_4040_023",27
,"Depot Andranomena","CAR_4040_023",66
,"Showroom Alarobia","CAR_4040_024",0.833
,"Depot Ivandry","CAR_4040_024",6.167
,"Depot Tamatave","CAR_4040_024",13
,"Depot Alarobia","CAR_4040_024",40
,"Depot Andranomena","CAR_4040_024",118
,"Depot Tamatave","CAR_4040_025",12
,"Depot Ivandry","CAR_4040_025",13
,"Depot Alarobia","CAR_4040_025",32
,"Depot Andranomena","CAR_4040_025",150
,"Showroom Alarobia","CAR_4040_026",1
,"Depot Tamatave","CAR_4040_026",35
,"Depot Alarobia","CAR_4040_026",103
,"Showroom Alarobia","CAR_4040_027",1
,"Depot Tamatave","CAR_4040_027",35
,"Depot Alarobia","CAR_4040_027",171
,"Showroom Alarobia","CAR_4040_028",1
,"Depot Tamatave","CAR_4040_028",30
,"Depot Alarobia","CAR_4040_028",186
,"Depot Tamatave","CAR_4040_029",2
,"Depot Ivandry","CAR_4040_029",45.34
,"Depot Andranomena","CAR_4040_029",71.001
,"Depot Tamatave","CAR_4040_030",1
,"Depot Alarobia","CAR_4040_030",20
,"Showroom Alarobia","CAR_4040_031",0.9
,"Depot Tamatave","CAR_4040_031",24.5
,"Depot Ivandry","CAR_4040_031",340.5
,"Depot Tamatave","CAR_4040_032",1
,"Depot Tamatave","CAR_4040_033",1
,"Depot Ivandry","CAR_4040_033",597.501
,"Showroom Alarobia","CAR_4040_034",0.16
,"Depot Tamatave","CAR_4040_034",15
,"Depot Andranomena","CAR_4040_034",160.929
,"Depot Ivandry","CAR_4040_034",195.16
,"Showroom Alarobia","CAR_4040_035",0.16
,"Depot Ivandry","CAR_4040_035",5.92
,"Depot Tamatave","CAR_4040_035",8.33
,"Depot Andranomena","CAR_4040_035",145.171
,"Showroom Alarobia","CAR_4040_036",0.16
,"Depot Tamatave","CAR_4040_036",15.2
,"Depot Andranomena","CAR_4040_036",175.431
,"Depot Ivandry","CAR_4040_036",237.737
,"Showroom Alarobia","CAR_4040_037",0.16
,"Depot Andranomena","CAR_4040_037",7.591
,"Depot Tamatave","CAR_4040_037",20
,"Depot Tamatave","CAR_4444_001",7.86
,"Depot Alarobia","CAR_4444_001",32.873
,"Depot Alarobia","CAR_4444_002",3.143
,"Depot Tamatave","CAR_4444_003",11
,"Depot Alarobia","CAR_4444_003",66.715
,"Depot Tamatave","CAR_4444_004",3
,"Depot Alarobia","CAR_4444_004",8.575
,"Depot Tamatave","CAR_4444_005",1
,"Depot Alarobia","CAR_4444_005",5.282
,"Depot Tamatave","CAR_4444_006",1
,"Depot Alarobia","CAR_4444_006",2
,"Showroom Alarobia","CAR_4444_007",0.47
,"Depot Tamatave","CAR_4444_007",21
,"Depot Alarobia","CAR_4444_007",26.106
,"Depot Tamatave","CAR_4444_008",1
,"Depot Alarobia","CAR_4444_008",14.72
,"Depot Alarobia","CAR_4444_009",9.43
,"Depot Alarobia","CAR_4444_010",7
,"Depot Alarobia","CAR_4444_011",4
,"Depot Alarobia","CAR_4444_012",5
,"Depot Alarobia","CAR_4444_013",6
,"Depot Alarobia","CAR_4444_014",24.57
,"Depot Tamatave","CAR_4444_015",12
,"Depot Alarobia","CAR_4444_015",32
,"Depot Alarobia","CAR_4444_016",28.286
,"Showroom Alarobia","CAR_4511_001",0.142
,"Depot Tamatave","CAR_4511_001",1
,"Depot Ivandry","CAR_4511_001",4
,"Depot Alarobia","CAR_4511_001",4.858
,"Depot Tamatave","CAR_4511_002",1
,"Depot Alarobia","CAR_4511_002",5
,"Depot Ivandry","CAR_4511_002",6
,"Showroom Alarobia","CAR_4511_003",0.142
,"SMOI (Discoi)","CAR_4511_003",2
,"Depot Alarobia","CAR_4511_003",20.858
,"Depot Tamatave","CAR_4511_003",23
,"Showroom Alarobia","CAR_4511_004",0.142
,"Depot Andranomena","CAR_4511_004",2
,"Depot Alarobia","CAR_4511_004",25.858
,"DIGITAL (Magasin)","CAR_4511_005",1
,"Depot Ivandry","CAR_4511_005",5
,"Depot Tamatave","CAR_4511_005",23
,"Depot Andranomena","CAR_4511_006",4
,"Depot Ivandry","CAR_4511_006",13
